#,Time,Service,Flags,Prio,Source Address,Source Name,Destination Address,Destination Name,Hop Count,Type,DPT,Info,Iack
92,"3/14/2026 2:42:15.922 PM",to bus,E,System,1.1.11,"-",1.1.7,"KNX 4 Buttons",5,PropertyValue_Write (S=2),,"ObjectIndex=3, PropertyId=5, Count=1, StartIndex=1, Data=01 00 00 00 00 00 00 00 00 00",LL_ACK
93,"3/14/2026 2:42:15.944 PM",from bus,,System,1.1.7,"KNX 4 Buttons",1.1.11,"-",6,T_ACK (S=2),,"",LL_ACK
94,"3/14/2026 2:42:16.017 PM",from bus,E,System,1.1.7,"KNX 4 Buttons",1.1.11,"-",6,PropertyValue_Response (S=2),,"ObjectIndex=3, PropertyId=5, Count=1, StartIndex=1, Data=$02",LL_ACK
95,"3/14/2026 2:42:16.049 PM",to bus,,System,1.1.11,"-",1.1.7,"KNX 4 Buttons",5,T_ACK (S=2),,"",LL_ACK
96,"3/14/2026 2:42:16.141 PM",to bus,E,System,1.1.11,"-",1.1.7,"KNX 4 Buttons",5,PropertyValue_Write (S=3),,"ObjectIndex=3, PropertyId=5, Count=1, StartIndex=1, Data=03 0B 00 00 00 58 00 00 00 00",LL_ACK
97,"3/14/2026 2:42:16.164 PM",from bus,,System,1.1.7,"KNX 4 Buttons",1.1.11,"-",6,T_ACK (S=3),,"",LL_ACK
98,"3/14/2026 2:42:16.234 PM",from bus,E,System,1.1.7,"KNX 4 Buttons",1.1.11,"-",6,PropertyValue_Response (S=3),,"ObjectIndex=3, PropertyId=5, Count=1, StartIndex=1, Data=$02",LL_ACK
99,"3/14/2026 2:42:16.263 PM",to bus,,System,1.1.11,"-",1.1.7,"KNX 4 Buttons",5,T_ACK (S=3),,"",LL_ACK
100,"3/14/2026 2:42:16.354 PM",to bus,E,System,1.1.11,"-",1.1.7,"KNX 4 Buttons",5,PropertyValue_Write (S=4),,"ObjectIndex=1, PropertyId=5, Count=1, StartIndex=1, Data=01 00 00 00 00 00 00 00 00 00",LL_ACK
101,"3/14/2026 2:42:16.376 PM",from bus,,System,1.1.7,"KNX 4 Buttons",1.1.11,"-",6,T_ACK (S=4),,"",LL_ACK
102,"3/14/2026 2:42:16.458 PM",from bus,E,System,1.1.7,"KNX 4 Buttons",1.1.11,"-",6,PropertyValue_Response (S=4),,"ObjectIndex=1, PropertyId=5, Count=1, StartIndex=1, Data=$02",LL_ACK
103,"3/14/2026 2:42:16.486 PM",to bus,,System,1.1.11,"-",1.1.7,"KNX 4 Buttons",5,T_ACK (S=4),,"",LL_ACK
104,"3/14/2026 2:42:16.579 PM",to bus,E,System,1.1.11,"-",1.1.7,"KNX 4 Buttons",5,PropertyValue_Write (S=5),,"ObjectIndex=1, PropertyId=5, Count=1, StartIndex=1, Data=03 0B 00 00 00 20 00 00 00 00",LL_ACK
105,"3/14/2026 2:42:16.608 PM",from bus,,System,1.1.7,"KNX 4 Buttons",1.1.11,"-",6,T_ACK (S=5),,"",LL_ACK
106,"3/14/2026 2:42:16.676 PM",from bus,E,System,1.1.7,"KNX 4 Buttons",1.1.11,"-",6,PropertyValue_Response (S=5),,"ObjectIndex=1, PropertyId=5, Count=1, StartIndex=1, Data=$02",LL_ACK
107,"3/14/2026 2:42:16.709 PM",to bus,,System,1.1.11,"-",1.1.7,"KNX 4 Buttons",5,T_ACK (S=5),,"",LL_ACK
108,"3/14/2026 2:42:16.805 PM",to bus,E,System,1.1.11,"-",1.1.7,"KNX 4 Buttons",5,PropertyValue_Write (S=6),,"ObjectIndex=2, PropertyId=5, Count=1, StartIndex=1, Data=01 00 00 00 00 00 00 00 00 00",LL_ACK
109,"3/14/2026 2:42:16.845 PM",from bus,,System,1.1.7,"KNX 4 Buttons",1.1.11,"-",6,T_ACK (S=6),,"",LL_ACK
110,"3/14/2026 2:42:16.914 PM",from bus,E,System,1.1.7,"KNX 4 Buttons",1.1.11,"-",6,PropertyValue_Response (S=6),,"ObjectIndex=2, PropertyId=5, Count=1, StartIndex=1, Data=$02",LL_ACK
111,"3/14/2026 2:42:16.957 PM",to bus,,System,1.1.11,"-",1.1.7,"KNX 4 Buttons",5,T_ACK (S=6),,"",LL_ACK
112,"3/14/2026 2:42:17.050 PM",to bus,E,System,1.1.11,"-",1.1.7,"KNX 4 Buttons",5,PropertyValue_Write (S=7),,"ObjectIndex=2, PropertyId=5, Count=1, StartIndex=1, Data=03 0B 00 00 00 3E 00 00 00 00",LL_ACK
113,"3/14/2026 2:42:17.072 PM",from bus,,System,1.1.7,"KNX 4 Buttons",1.1.11,"-",6,T_ACK (S=7),,"",LL_ACK
114,"3/14/2026 2:42:17.154 PM",from bus,E,System,1.1.7,"KNX 4 Buttons",1.1.11,"-",6,PropertyValue_Response (S=7),,"ObjectIndex=2, PropertyId=5, Count=1, StartIndex=1, Data=$02",LL_ACK
115,"3/14/2026 2:42:17.189 PM",to bus,,System,1.1.11,"-",1.1.7,"KNX 4 Buttons",5,T_ACK (S=7),,"",LL_ACK
116,"3/14/2026 2:42:17.259 PM",to bus,E,System,1.1.11,"-",1.1.7,"KNX 4 Buttons",5,PropertyValue_Read (S=8),,"ObjectIndex=4, PropertyId=7, Count=1, StartIndex=1",LL_ACK
117,"3/14/2026 2:42:17.283 PM",from bus,,System,1.1.7,"KNX 4 Buttons",1.1.11,"-",6,T_ACK (S=8),,"",LL_ACK
