STT,Nội dung,,Thao tác,Chi tiết,Led hiển thị,Ghi chú,Icon,,,,,,,,,,,,
,,,Cập nhật định kỳ,"Định kỳ cập nhật cả 2 thông số nhiệt độ, độ ẩm trong <= 30 phút",,,,,,,,,,,,,,,
Tính năng trên app khác,,,,,,,,,,,,,,,,,,,
1,Rule,Công tắc,,"Đầu vào: Có
Đầu ra: Có",,Riêng Endpoint 1 cho phép đầu ra là chuyển màn,,,,,,,,,,,,,
,,Cảnh,,,,,,,,,,,,,,,,,
,,CCT,,,,,,,,,,,,,,,,,
,,Dim,,,,,,,,,,,,,,,,,
,,Rèm,,,,,,,,,,,,,,,,,
,,Fan,,,,,,,,,,,,,,,,,
,,AC,,"Đầu vào: Không
Đầu ra: Có",,,,,,,,,,,,,,,
,,Sưởi,,,,,,,,,,,,,,,,,
2,Cảnh thường,,,Tất cả các type đều hỗ trợ,,,,,,,,,,,,,,,
3,Lịch,,,Tất cả các type đều hỗ trợ,,,,,,,,,,,,,,,
4,Cảnh Lighting,,,Không hỗ trợ,,,,,,,,,,,,,,,
5,Nhóm Lighting,,,Không hỗ trợ,,,,,,,,,,,,,,,
6,Binding,,,Không hỗ trợ,,,,,,,,,,,,,,,
7,Nhóm thường,,,Chỉ hỗ trợ công tắc,,,,,,,,,,,,,,,
